title,rating,reviews_count,type_ins
Design-Led Strategy: Design thinking for business strategy and entrepreneurship,4.622222222222222,135,University
Biology Meets Programming: Bioinformatics for Beginners,4.061889250814332,307,University
Understanding Medical Research: Your Facebook Friend is Wrong,4.925093632958801,267,University
Health Behavior Change: From Evidence to Action,4.925925925925926,27,University
Ordered Data Structures,4.670103092783505,97,University
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,4.842684268426843,2727,University
Programming Fundamentals,4.643485211830535,1251,University
Understanding Financial Markets,4.703271028037383,856,University
In the Studio: Postwar Abstract Painting,4.921739130434783,460,Other
Drug Commercialization,4.6092715231788075,151,University
Introduction to Software Product Management,4.548746518105849,1077,University
"Social Norms, Social Change I",4.6061381074168795,391,Other
Excel Skills for Business: Intermediate II,4.731417244796829,1009,University
Aboriginal Worldviews and Education,4.552238805970149,67,University
"Information Systems Auditing, Controls and Assurance",4.700440528634362,227,University
Six Sigma Principles,4.529531568228106,982,University
Business Writing,4.818742293464858,811,University
Autodesk Certified Professional: AutoCAD for Design and Drafting Exam Prep,4.728971962616822,321,Other
Introduction to Typography,4.762962962962963,810,Institute
Customer Segmentation and Prospecting,4.722222222222222,162,University
Claves para Gestionar Personas,4.84984520123839,646,Other
English for Journalism,4.819536423841059,604,University
How Things Work: An Introduction to Physics,4.808064516129032,620,University
Business English: Networking,4.801047120418848,573,University
Summary Statistics in Public Health,4.793991416309013,233,University
Global Energy and Climate Policy,4.621359223300971,103,University
El Abogado del Futuro: Legaltech y la Transformación Digital del Derecho,4.968,125,University
Probability and Statistics: To p or not to p?,4.669642857142857,336,University
Gut Check: Exploring Your Microbiome,4.7370517928286855,251,University
Econometrics: Methods and Applications,4.465,200,University
Разработка веб-сервисов на Go - основы языка,4.691489361702128,94,Institute
Mastering Data Analysis in Excel,3.71267252195734,797,University
Basic Statistics,4.589435774309724,833,University
"Capstone: Retrieving, Processing, and Visualizing Data with Python",4.508108108108108,1295,University
Design Thinking for the Greater Good: Innovation in the Social Sector,4.583333333333333,84,University
